metric,protocol,category,slug,usd_24h,usd_7d,usd_30d,usd_1y,usd_all_time,chains
fees,Rabby Perps,Interface,rabby-perps,2357,32771,152734,1487656,1487656,Hyperliquid L1
fees,MetaMask USD,Stablecoin Issuer,metamask-usd,1802,13781,65083,1053047,1054849,Ethereum;Linea
fees,MetaMask Perps,Interface,metamask-perps,7008,190060,652470,8275371,8275371,Hyperliquid L1
fees,Rainbow Perps,Interface,rainbow-perps,250,2308,9192,596883,596883,Hyperliquid L1
fees,fomo Wallet,Trading App,fomo-wallet,156329,1987959,7334357,27666666,28001032,Solana
fees,Backpack SOL,Liquid Staking,backpack-sol,0,3571,17603,297386,372984,Solana
fees,Gem Wallet Perps,Interface,gem-wallet-perps,3.59,10.86,310.09000000000003,67657.08999999998,67657.08999999998,Hyperliquid L1
fees,Splash Wallet Perps,Interface,splash-wallet-perps,62,2735.92,4563.82,156850.82,158512.82,Hyperliquid L1
fees,Rainbow Predictions,Interface,rainbow-predictions,140,971.37,4125.37,72946.37,73086.37,Polygon
fees,THORWallet,DEX Aggregator,thorwallet,168,3422,13385,139494,139662,Thorchain
fees,Rainbow Token Launchpad,Launchpad,rainbow-token-launchpad,4.12,152.04999999999998,2097.24,48897.240000000005,48901.36000000001,Base
fees,Telegram Wallet,Interface,telegram-wallet,3929,79367,693097,3129884,3129884,zkLighter
fees,Trust Wallet Perps,Interface,trust-wallet-perps,7036,157712,165589,182718,182718,Hyperliquid L1
fees,MetaMask Predictions,Interface,metamask-predictions,3278,21242,236717,236717,239995,Polygon
fees,Cwallet Perps,Interface,cwallet-perps,0.69,13.129999999999999,93.33,12672.330000000004,12672.330000000004,Hyperliquid L1
fees,Blockchain Wallet Perps,Interface,blockchain-wallet-perps,162,5048,69714,119128,119128,Hyperliquid L1
fees,DashsWallet,Portfolio Tracker,dashswallet,0,0,55,55,55,OP Mainnet;Base;Arbitrum;Ethereum;Avalanche;Polygon
revenue,MetaMask Wallet,Wallets,metamask-wallet,60826,413415,1585583,41677762,192892657,BSC;Ethereum;Polygon;Arbitrum;Linea;OP Mainnet;Base;Hyperliquid L1;Avalanche;Monad;Solana
revenue,Rainbow Wallet,Wallets,rainbow-wallet,1614,9051,30245,1416330,8339868,BSC;OP Mainnet;Ethereum;Arbitrum;Berachain;Polygon;Avalanche;Base;Blast;Ink;ApeChain;Zora;Gravity by Galxe;Unichain;Monad;Degen;Sonic;Celo;Katana;World Chain;Scroll;Plasma;Linea;Hyperliquid L1;Mantle;Ronin;BOB;Plume Mainnet;MegaETH;B3
revenue,Coinbase Wrapped Staked ETH,Liquid Staking,coinbase-wrapped-staked-eth,5915,43271,180558,3647895,5753907,Ethereum
revenue,Zerion Wallet,Wallets,zerion-wallet,0,0,0,434397,3425903,BSC;OP Mainnet;Ethereum;Polygon;Arbitrum;Base;Monad
revenue,Coinbase Commerce,Payments,coinbase-commerce,0,0,0,727866,2659742,Ethereum;Base;Polygon
revenue,OKX Swap,DEX Aggregator,okx-swap,0,0,0,0,0,Mantle;Blast;Sonic;Unichain;Metis;ZKsync Era;Avalanche;Linea;OP Mainnet;Arbitrum;Plasma;Polygon;Ethereum;Base;BSC
revenue,Bitget SOL,Liquid Staking,bitget-sol,0,0,54,31646,72252,Solana
revenue,Phantom Wallet,Wallets,phantom-wallet,138044,1055286,5677506,117387391,552416490,Solana;Ethereum;Base;Polygon;Monad
revenue,Trust Wallet Wallet,Wallets,trust-wallet-wallet,1873,36172,200267,4386489,34645709,Ethereum;OP Mainnet;Arbitrum;Base;Polygon;Avalanche;BSC
revenue,Base App,Wallets,base-app,5445,88846,466676,21258758,125594246,OP Mainnet;Avalanche;Arbitrum;Polygon;BSC;Base;Ethereum
revenue,Rabby Wallet,Wallets,rabby-wallet,2889,26542,94555,3966844,12960289,Ethereum;BSC;Base;Arbitrum;Gnosis;Berachain;Sonic;Abstract;Blast;Scroll;Unichain;Manta;Polygon;OP Mainnet;Mantle;Avalanche;Polygon zkEVM;ZKsync Era;Arbitrum Nova;Linea;Monad
revenue,Coinbase Bridge,Bridge,coinbase-bridge,0,0,0,0,0,Ethereum;Arbitrum;Base;Solana
revenue,Phantom SOL,Liquid Staking,phantom-sol,754,1774,6859,212241,253437,Solana
revenue,Phantom Perps,Interface,phantom-perps,14352,203641,1018377,22204741,23590774,Hyperliquid L1
revenue,Okto Wallet Perps,Interface,okto-wallet-perps,0.82,30.990000000000002,259.99,175040.99,884772.99,Hyperliquid L1
revenue,Wallet V,Interface,wallet-v,3.77,3893.77,5793.77,73779.77,95106.77,Hyperliquid L1
revenue,Rabby Perps,Interface,rabby-perps,2357,32771,152734,1487656,1487656,Hyperliquid L1
revenue,MetaMask USD,Stablecoin Issuer,metamask-usd,1802,13781,65083,1053047,1054849,Ethereum;Linea
revenue,MetaMask Perps,Interface,metamask-perps,7008,190060,652470,8275371,8275371,Hyperliquid L1
revenue,Rainbow Perps,Interface,rainbow-perps,250,2308,9192,596883,596883,Hyperliquid L1
revenue,fomo Wallet,Trading App,fomo-wallet,148851,1841780,6756877,26486497,26820863,Solana
revenue,Backpack SOL,Liquid Staking,backpack-sol,0,90,185,1843,1843,Solana
revenue,Gem Wallet Perps,Interface,gem-wallet-perps,3.59,10.86,310.09000000000003,67657.08999999998,67657.08999999998,Hyperliquid L1
revenue,Splash Wallet Perps,Interface,splash-wallet-perps,62,2735.92,4563.82,156850.82,158512.82,Hyperliquid L1
revenue,Rainbow Predictions,Interface,rainbow-predictions,140,971.37,4125.37,72946.37,73086.37,Polygon
revenue,THORWallet,DEX Aggregator,thorwallet,168,3422,13385,138570,138738,Thorchain
revenue,Rainbow Token Launchpad,Launchpad,rainbow-token-launchpad,4.12,152.04999999999998,2097.24,48897.240000000005,48901.36000000001,Base
revenue,Telegram Wallet,Interface,telegram-wallet,3929,79367,693097,3129884,3129884,zkLighter
revenue,Trust Wallet Perps,Interface,trust-wallet-perps,7036,157712,165589,182718,182718,Hyperliquid L1
revenue,MetaMask Predictions,Interface,metamask-predictions,3043,21242,236717,236717,239760,Polygon
revenue,Cwallet Perps,Interface,cwallet-perps,0.69,13.129999999999999,93.33,12672.330000000004,12672.330000000004,Hyperliquid L1
revenue,Blockchain Wallet Perps,Interface,blockchain-wallet-perps,162,5048,69714,119128,119128,Hyperliquid L1
revenue,DashsWallet,Portfolio Tracker,dashswallet,0,0,55,55,55,OP Mainnet;Base;Arbitrum;Ethereum;Avalanche;Polygon
